raw_id,chat,message_date,text_len,audit_class,usefulness,system_result,coverage_reason,intake_status,queue_status,batch_status,run_id,run_status,final_decision,single_score,material_count,embedding_count,preview
107,Vibe Dev,2026-06-23T16:22:34+00:00,51,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"в gigacoder больше нету подписки, там акки побанили"
110,"founderStack / Общение, знакомства",2026-06-23T16:23:23+00:00,89,NOT_USEFUL,24,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Ну вот в АйТи частенько есть ресурсы и работаешь ты при этом 2-3 часа в день, что дальше?"
114,"founderStack / Общение, знакомства",2026-06-23T16:24:05+00:00,47,NOT_USEFUL,6,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Что значит чё дальше? Своими делами заниматься)
119,Vibe Dev,2026-06-23T16:25:17+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,хм
120,Vibecoder Chat [Public],2026-06-23T16:25:27+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,хм
122,Vibe Dev,2026-06-23T16:25:54+00:00,23,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Куда больше чем на гига
123,Vibe Dev,2026-06-23T16:26:02+00:00,127,DISCUSSION_SEGMENT,42,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Нейрогейт рефка Такой ни у кого нет, 5 баксов за пополнение сверху дает🥰 Нейрогейт если глм релиз сделает то будет пиздец имба"
124,Vibecoder Chat [Public],2026-06-23T16:26:10+00:00,1,NOT_USEFUL,0,REPLAYED_NO_EMBEDDING,replay_message_exists_but_no_embedding,PROCESSED,PROCESSED,PROCESSED,5,COMPLETED,SUPPRESS,,0,0,.
125,Vibecoder Chat [Public],2026-06-23T16:26:18+00:00,1,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,.
126,ОМ: Резюме,2026-06-23T16:28:28+00:00,0,NOT_USEFUL,0,INTAKE_SKIPPED,text_extraction_empty_or_no_text,SKIPPED,,,,,,,0,0,
127,ОМ: Резюме,2026-06-23T16:28:28+00:00,411,ANSWER_OR_EXPLANATION,58,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Добро пожаловать в стаю, @Not_t_b_oring! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедше"
128,Vibecoder Chat [Public],2026-06-23T16:30:21+00:00,41,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Тот самый ИИ, который нас всех заменит 🤣"
129,Vibecoder Chat [Public],2026-06-23T16:30:50+00:00,23,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,какой вопрос такой отве
130,Vibecoder Chat [Public],2026-06-23T16:33:24+00:00,34,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Спасибо. Порыл..уже знаю как надо.
131,Vibecoder Chat [Public],2026-06-23T16:33:41+00:00,45,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Где ключи на винду взять или можно unlockerом
132,ОМ: Резюме,2026-06-23T16:33:59+00:00,408,ANSWER_OR_EXPLANATION,58,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Добро пожаловать в стаю, @timurkarev! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего "
133,ОМ: Бэкенд,2026-06-23T16:38:03+00:00,112,NOT_USEFUL,14,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"Я меня был доступ первый год, как по мне там большинство вопросов слишком заезженные. По записям тоже все плохо."
137,Vibecoder Chat [Public],2026-06-23T16:39:15+00:00,8,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,kms auto
138,Vibemode,2026-06-23T16:39:15+00:00,55,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,тебе скорее всего из начально нужно ему дать свой токен
139,Vibemode,2026-06-23T16:39:20+00:00,23,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,чтобы смог зайти в твой
140,Vibemode,2026-06-23T16:39:27+00:00,37,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,а так у него сам спроси как тебе дать
141,Vibe GIG Мастерская,2026-06-23T16:39:42+00:00,37,NOT_USEFUL,25,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Так это не баг же про миллионы лимита
142,Vibe GIG Мастерская,2026-06-23T16:40:23+00:00,75,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"И то что дается миллионы токенов эт норм, у меня больше 20 акков таких было"
147,Vibe GIG Мастерская,2026-06-23T16:40:46+00:00,65,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,И лимиты по 500 долларов после того как попользуешься нейросетко1
148,Vibe GIG Мастерская,2026-06-23T16:41:20+00:00,48,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Лимит 50 ниче не дает, можно пропускать этот шаг"
149,Vibe GIG Мастерская,2026-06-23T16:41:37+00:00,30,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"А так, за тему + реп, спасибо)"
150,Vibecoder Chat [Public],2026-06-23T16:42:01+00:00,37,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Ну это мемчики с времен 4о, видимо..."
151,Vibe GIG Мастерская,2026-06-23T16:42:31+00:00,22,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,сгенерируем девушек???
153,Vibecoder Chat [Public],2026-06-23T16:44:19+00:00,61,NOT_USEFUL,6,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,У кого-нибудь прямо сейчас работает Кодекс через аккаунт GPT?
155,Vibe GIG Мастерская,2026-06-23T16:44:37+00:00,17,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,че за 18+ контент
156,Vibe GIG Мастерская,2026-06-23T16:44:46+00:00,18,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,дипсик без скиллов
157,Vibecoder Chat [Public],2026-06-23T16:44:45+00:00,0,NOT_USEFUL,0,INTAKE_SKIPPED,text_extraction_empty_or_no_text,SKIPPED,,,,,,,0,0,
158,Vibe GIG Мастерская,2026-06-23T16:44:54+00:00,24,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,надо было больше просить
159,Vibe GIG Мастерская,2026-06-23T16:44:54+00:00,32,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"А в клауд не засунуть, как понял"
161,Vibe GIG Мастерская,2026-06-23T16:44:59+00:00,11,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,не засунуть
163,Vibe GIG Мастерская,2026-06-23T16:45:06+00:00,6,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,ахахах
167,Vibecoder Chat [Public],2026-06-23T16:47:00+00:00,78,UNKNOWN_NEEDS_CONTEXT,31,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"FedRAMP — жёлтый, есть проблема - Это и есть проблема со входом через акк GPT?"
172,Vibecoder Chat [Public],2026-06-23T16:47:52+00:00,238,TROUBLESHOOTING,65,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Error code token_exchange_failed Details Token exchange failed: error sending request for url (https://auth.openai.com/oauth/token) Выдает это сообщение уже 3-й день. Все способы перепробовал и по трафику, и переустановки - перезагрузки"
182,Vibecoder Chat [Public],2026-06-23T16:50:41+00:00,96,NOT_USEFUL,28,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Решил проверить ответ на instant для чистоты эксперимента, а не на high, даже с юмором отвечает)"
204,Vibecoder Chat [Public],2026-06-23T16:58:13+00:00,48,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"на гите есть репо, там 1 командой авто активатор"
205,[UNCRN.me] Коридорки и кастдев,2026-06-23T17:16:46+00:00,720,ANSWER_OR_EXPLANATION,64,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"Приветствую всех! Меня зовут Людмила. Приглашаем на онлайн-интервью пользователей сервисов доставки продуктов. 📍 Белоруссия (Минск, Гомель, Гродно) ✅ Кто подходит: • Мужчины и женщины 18–45 лет • Заказывали продукты или товары для дома с до"
206,Vibemode,2026-06-23T17:17:05+00:00,80,NOT_USEFUL,28,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,ребята подскажите какие модели в кодексе лучше использвать и как экономить лучше
207,ОМ: Бэкенд,2026-06-23T17:23:26+00:00,93,NOT_USEFUL,0,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"Понял, спасибо! А то у них какая-то акция на пожизненный доступ, чуть не прогрелся на покупку"
208,Vibe Dev,2026-06-23T17:14:43+00:00,5,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,пусто
209,Vibe Dev,2026-06-23T17:22:55+00:00,16,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,попался в капкан
210,Vibe Dev,2026-06-23T17:23:40+00:00,9,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Пополнил?
211,"founderStack / Общение, знакомства",2026-06-23T17:03:50+00:00,33,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,С утра умер — весь день свободен)
212,"founderStack / Общение, знакомства",2026-06-23T17:04:13+00:00,45,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"У нас щас жара под 40, я примерно так и делаю"
213,"founderStack / Общение, знакомства",2026-06-23T17:04:22+00:00,16,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Бля … сочувствую
214,"founderStack / Общение, знакомства",2026-06-23T17:05:10+00:00,48,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Ты хотел бы Жить на постоянной основе в отеле? 🤔
215,"founderStack / Общение, знакомства",2026-06-23T17:05:30+00:00,41,NOT_USEFUL,14,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Работать с другими, че дальше че дальше))"
216,"founderStack / Общение, знакомства",2026-06-23T17:05:42+00:00,48,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"В некоторых отелях, кстати, можно выкупить номер"
217,"founderStack / Общение, знакомства",2026-06-23T17:10:14+00:00,21,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Только вопрос нафига)
220,Vibecoder Chat [Public],2026-06-23T17:23:55+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,хм
221,Vibecoder Chat [Public],2026-06-23T17:24:15+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,хм
222,ОМ: Бэкенд,2026-06-23T17:25:14+00:00,661,TOOL_OR_RELEASE,80,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"делал ""мок"" просто - созвон с кем-нибудь и в лайв редакторе открывал задачу, просил просто собеседника сказать палевно ли что читаю и т.п., вроде нет)) ну задачу на два указателя на 2-5 секунд нейронка выплюнула. Опять же, там в подписку вх"
223,Vibecoder Chat [Public],2026-06-23T17:25:19+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,хм
224,Vibecoder Chat [Public],2026-06-23T17:25:48+00:00,30,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Да кмс по пмс делает за минуту
225,Vibemode,2026-06-23T17:27:32+00:00,100,NOT_USEFUL,24,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Как можно синхронизировать подписку гпт и апи нейрогейт? Просто неудобно каждый раз отключать апишку
226,[UNCRN.me] Коридорки и кастдев,2026-06-23T17:27:48+00:00,645,ANSWER_OR_EXPLANATION,58,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"Привет! Меня зовут Василий Делаем с командой приложение — умного помощника по личным финансам, который подсказывает, куда направить свободные деньги, и объясняет почему. Помогает планировать личный бюджет. Чтобы понять, что не так с текущим"
227,Vibemode,2026-06-23T17:28:24+00:00,58,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Рекомендую апгрейд тарифы сделать чтобы не переключаться 😃
228,Vibemode,2026-06-23T17:29:20+00:00,49,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Мне вебка необходима поэтому минимум 1 плюс нужен
229,Vibe Dev,2026-06-23T17:31:10+00:00,17,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,А что там сейчас?
230,API SUPPORT | ModelHub,2026-06-23T17:32:03+00:00,7,NOT_USEFUL,0,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,кайф!!!
231,API SUPPORT | ModelHub,2026-06-23T17:32:12+00:00,21,NOT_USEFUL,0,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,ну ведь приятно же!!!
232,Vibemode,2026-06-23T17:34:10+00:00,8,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Вебхуки?
233,Vibe Dev,2026-06-23T17:34:36+00:00,7,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,глм5.2?
234,Vibe Dev,2026-06-23T17:35:27+00:00,2,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Да
235,Vibe Dev,2026-06-23T17:35:35+00:00,13,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Уже добавили?
236,Vibe GIG Мастерская,2026-06-23T17:35:35+00:00,14,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Кайфовая штука
237,Vibe Dev,2026-06-23T17:35:47+00:00,24,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Пока вроде нет, не слежу"
238,Vibe Dev,2026-06-23T17:35:58+00:00,13,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,На byesu есть
239,Vibe Dev,2026-06-23T17:36:00+00:00,34,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Энивей ахуенно на нем будет сидеть
240,Vibe Dev,2026-06-23T17:36:05+00:00,18,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,я не на буесу юзаю
241,Vibe Dev,2026-06-23T17:36:05+00:00,9,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Без кэша)
242,Vibe Dev,2026-06-23T17:36:07+00:00,11,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Бесплатного
243,Vibe Dev,2026-06-23T17:36:08+00:00,19,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,я себе безлим нашел
244,Vibe Dev,2026-06-23T17:36:10+00:00,0,NOT_USEFUL,0,INTAKE_SKIPPED,text_extraction_empty_or_no_text,SKIPPED,,,,,,,0,0,
245,Vibe Dev,2026-06-23T17:36:14+00:00,6,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Почем?
246,Vibe Dev,2026-06-23T17:36:19+00:00,3,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,фри
247,Vibe Dev,2026-06-23T17:36:22+00:00,16,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,абузилка обычная
248,Vibe Dev,2026-06-23T17:36:27+00:00,1,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,А
249,Vibe Dev,2026-06-23T17:36:35+00:00,15,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Крупный сервис?
250,Vibe Dev,2026-06-23T17:36:40+00:00,16,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,китайцы какие-то
251,Vibe GIG Мастерская,2026-06-23T17:36:58+00:00,68,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,гпт плюс за 3 рефов https://t.me/OminiRef_bot?start=ref_7387848364
252,Vibe GIG Мастерская,2026-06-23T17:36:59+00:00,52,NOT_USEFUL,14,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,не кто-то вообще найду опус тестировать код элемента
253,Vibe GIG Мастерская,2026-06-23T17:37:00+00:00,41,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,ну ты чего тут нам рекламируешь свои боты
254,Vibe GIG Мастерская,2026-06-23T17:37:18+00:00,68,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,гпт плюс за 3 рефов https://t.me/OminiRef_bot?start=ref_7387848364
255,"founderStack / Общение, знакомства",2026-06-23T17:37:36+00:00,127,NOT_USEFUL,18,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,не я просто про образ людей которые могут отдать сотни баксов за отель в день не особо напрягаясь или переживая за свой бюджет)
256,"founderStack / Общение, знакомства",2026-06-23T17:37:47+00:00,50,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,другими словами у всех разный уровень нормальности
257,"founderStack / Общение, знакомства",2026-06-23T17:38:00+00:00,20,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Теперь понял! Улет 😁
258,Vibe Dev,2026-06-23T17:37:57+00:00,13,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Скинешь в лс?
259,Сделка с Ангелом | Kолмакова,2026-06-23T17:38:23+00:00,853,USEFUL_SIGNAL,52,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,⚡️ Вошла в жюри ИИ-прорыв. Первая открытая инвестиционная нетворкинг-сессия в Научном парке МГУ «ИИ-прорыв» — серия открытых питч-сессий ИИ-проектов и AI Native решений для бизнеса с последующим закрытым роуд-шоу для инвесторов. 🎯 Цель — со
260,ОМ: Полезные обсуждения,2026-06-23T17:38:26+00:00,79,NOT_USEFUL,0,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"сильно маловероятно, что проиграю, там все равно выйграю, просто уточняю нюансы"
261,"founderStack / Общение, знакомства",2026-06-23T17:39:00+00:00,44,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,ты бы на каком уровне хотел уйти на пенсию?)
262,"founderStack / Общение, знакомства",2026-06-23T17:39:13+00:00,71,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,домик за городом и помидорчики огурчики или путешествия без ограничений
263,"founderStack / Общение, знакомства",2026-06-23T17:39:22+00:00,28,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Я бы вообще не хотел уходить
264,Vibe Dev,2026-06-23T17:39:20+00:00,6,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,скинул
265,"founderStack / Общение, знакомства",2026-06-23T17:39:30+00:00,50,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Скорее всего , когда здоровье перестанет позволять"
266,ОМ: Бэкенд,2026-06-23T17:39:46+00:00,325,DISCUSSION_SEGMENT,36,INTAKE_PENDING,suppressed_by_scope_no_explicit_auto_setting,PENDING,,,,,,,0,0,"Добро пожаловать в стаю, @strekok! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего кон"
267,"founderStack / Общение, знакомства",2026-06-23T17:40:00+00:00,55,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"В смысле, ну, мне нравится что я делаю, я хочу большего"
268,"founderStack / Общение, знакомства",2026-06-23T17:41:18+00:00,18,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,что тебе нравится?
269,Vibe Dev,2026-06-23T17:41:19+00:00,101,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"У них кооф. 4.5 и gtp 5.5 тупее моего с аккаунта на плюсе. Не понравилось у них, не похоже на правду."
270,"founderStack / Общение, знакомства",2026-06-23T17:42:02+00:00,24,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Создавать новое нравится
271,Vibe Dev,2026-06-23T17:42:02+00:00,20,NOT_USEFUL,14,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,На byesu офиц модели
272,Vibe Dev,2026-06-23T17:42:20+00:00,61,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,"Вот у вас только недавно прикрутили оплату, пойду скоро к вам"
273,"founderStack / Общение, знакомства",2026-06-23T17:42:36+00:00,26,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,работаешь над инновациями?
274,"founderStack / Общение, знакомства",2026-06-23T17:43:11+00:00,36,NOT_USEFUL,0,INTAKE_PENDING,intake_pending_not_queued,PENDING,,,,,,,0,0,Ну 100 инноваций я конечно не создаю
