local_id,raw_ids,chat,topic,source_count,combined_score,decision,proposed_material_type,signals,rejection_reason
"S0052","6159 6162 6164 6166 6167 6169","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0056","6167 6169 6170 6171 6173 6175","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0057","6169 6170 6171 6173 6175 6176","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0058","6170 6171 6173 6175 6176 6177","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0059","6171 6173 6175 6176 6177 6178","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0060","6173 6175 6176 6177 6178 6180","Vibemode","Баги и вопросы по API","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0061","6175 6176 6177 6178 6180","Vibemode","Баги и вопросы по API","5","0.56","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0092","5977 5978 5982 6001","Asati Chat","763758641152","4","0.64","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,MULTI_MESSAGE_CONTEXT",""
"S0093","5978 5982 6001","Asati Chat","763758641152","3","0.62","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,MULTI_MESSAGE_CONTEXT",""
"S0109","6038 6040 6041 6072 6077 6107","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0110","6040 6041 6072 6077 6107 6109","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0111","6041 6072 6077 6107 6109 6110","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0112","6072 6077 6107 6109 6110 6115","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0113","6077 6107 6109 6110 6115 6116","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0114","6107 6109 6110 6115 6116 6121","Vibe GIG Мастерская","Флудилка","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0122","6192 6208 6210 6211 6212 6213","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0123","6208 6210 6211 6212 6213 6215","Vibe GIG Мастерская","Флудилка","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0130","6218 6219 6220 6221 6222 6223","Vibe GIG Мастерская","Флудилка","6","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0131","6219 6220 6221 6222 6223 6224","Vibe GIG Мастерская","Флудилка","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0132","6220 6221 6222 6223 6224 6225","Vibe GIG Мастерская","Флудилка","6","0.9","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0133","6221 6222 6223 6224 6225 6226","Vibe GIG Мастерская","Флудилка","6","0.8","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0134","6222 6223 6224 6225 6226 6258","Vibe GIG Мастерская","Флудилка","6","0.8","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0135","6223 6224 6225 6226 6258 6259","Vibe GIG Мастерская","Флудилка","6","0.8","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0136","6224 6225 6226 6258 6259","Vibe GIG Мастерская","Флудилка","5","0.78","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,CHECKLIST_OR_LIST,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0158","6683 6730","Vibe GIG Мастерская","Полезные ссылки","2","0.6","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,REPEATED_ENTITY",""
"S0217","6341 6360 6538 6539 6540 6543","ОМ: Биохакинг","6411","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0218","6360 6538 6539 6540 6543 6571","ОМ: Биохакинг","6411","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0219","6538 6539 6540 6543 6571","ОМ: Биохакинг","6411","5","0.66","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0220","6539 6540 6543 6571","ОМ: Биохакинг","6411","4","0.64","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0221","6540 6543 6571 6574 6575 6591","ОМ: Биохакинг","6411","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0222","6543 6571 6574 6575 6591 6592","ОМ: Биохакинг","6411","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0223","6571 6574 6575 6591 6592 6684","ОМ: Биохакинг","6411","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0224","6574 6575 6591 6592 6684 6688","ОМ: Биохакинг","6411","6","0.88","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0225","6575 6591 6592 6684 6688","ОМ: Биохакинг","6411","5","0.86","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RESOURCE_LINK_WITH_EXPLANATION,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0226","6591 6592 6684 6688","ОМ: Биохакинг","6411","4","0.74","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0227","6592 6684 6688 6820","ОМ: Биохакинг","6411","4","0.74","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0266","6691 6765 6769 6776 6778 6799","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0267","6765 6769 6776 6778 6799 6803","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0268","6769 6776 6778 6799 6803 6805","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0269","6776 6778 6799 6803 6805 6806","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0270","6778 6799 6803 6805 6806 6817","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0271","6799 6803 6805 6806 6817 6819","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0272","6803 6805 6806 6817 6819 6826","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0273","6805 6806 6817 6819 6826 6836","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0274","6806 6817 6819 6826 6836 6850","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0275","6817 6819 6826 6836 6850 6876","Vibecoder Chat [Public]","Claude Code","6","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0276","6819 6826 6836 6850 6876","Vibecoder Chat [Public]","Claude Code","5","0.96","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0277","6826 6836 6850 6876","Vibecoder Chat [Public]","Claude Code","4","0.76","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0278","6836 6850 6876","Vibecoder Chat [Public]","Claude Code","3","0.74","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0279","6850 6876","Vibecoder Chat [Public]","Claude Code","2","0.62","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY",""
"S0292","6618 6621 6622 6630 6632","Опричнина.","1369636339712","5","0.56","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,MULTI_MESSAGE_CONTEXT",""
"S0298","6641 6644 6653 6655 6656 6657","Опричнина.","1369656262656","6","0.6","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0299","6644 6653 6655 6656 6657","Опричнина.","1369656262656","5","0.58","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0300","6653 6655 6656 6657","Опричнина.","1369656262656","4","0.56","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,MULTI_MESSAGE_CONTEXT",""
"S0323","6716 6861","ОМ: Полезные обсуждения","58143539200","2","0.7","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,REPEATED_ENTITY",""
"S0364","6034 6042 6052 6062 6069 6070 6078 6079 6105","Vibemode","Баги и вопросы по API","9","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0365","6765 6776 6778 6799 6803 6805 6817 6826 6836 6850 6876","Vibecoder Chat [Public]","Claude Code","11","0.98","DISCUSSION_SEGMENT_CANDIDATE","GUIDE","Q_AND_A_PAIR,PROBLEM_SOLUTION,ERROR_OR_STATUS_DIAGNOSIS,TECHNICAL_API_CACHE_COST,REPEATED_ENTITY,MULTI_MESSAGE_CONTEXT",""
"S0366","6341 6540 6543 6592 6688 6820","ОМ: Биохакинг","6411","6","0.78","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,CAREER_RESUME_SIGNAL,RISK_OR_CAUTION_SIGNAL,MULTI_MESSAGE_CONTEXT",""
"S0367","6144 6367","ОМ: Полезные обсуждения","58133053440","2","0.58","DISCUSSION_SEGMENT_CANDIDATE","ANSWER","Q_AND_A_PAIR,RISK_OR_CAUTION_SIGNAL",""
