algorithm,cluster_id,ru_name,name_kind,size,decision,decision_ru,quality_score,top_class,top_class_ru,top_route,classes,routes,top_20_ids,top_20_classes
bm25_token_overlap_baseline,lab-cluster-103,"API, инструменты и техническое обсуждение: claude",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,DIGEST_NEWS,дайджест / новости,REVIEW_SIGNAL_OR_DISCUSSION,"{""DIGEST_NEWS"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-04607,msg-09067","DIGEST_NEWS,DIGEST_NEWS"
bm25_token_overlap_baseline,lab-cluster-112,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-05157,msg-18656","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-150,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-07472,msg-07681","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-169,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-08393,msg-11024","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-21,"API, инструменты и техническое обсуждение: deepseek",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-00369,msg-04400","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-214,"API, инструменты и техническое обсуждение: deepseek",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-11254,msg-11276","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-239,"API, инструменты и техническое обсуждение: gpt-5",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-13124,msg-18429","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-30,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-00615,msg-07148","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-337,"Сбои, лимиты и ошибки: сервисы/API",outage_status,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-19255,msg-19258","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-53,"API, инструменты и техническое обсуждение: gpt-4o",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-01967,msg-02356","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-89,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-03833,msg-03847","TECH_SIGNAL,TECH_SIGNAL"
bm25_token_overlap_baseline,lab-cluster-74,Смешанный кластер: telegram-ссылка,mixed,5,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.9,INTERNAL_TELEGRAM_LINK,telegram-ссылка,NEEDS_LINK_ENRICHMENT,"{""INTERNAL_TELEGRAM_LINK"": 5}","{""NEEDS_LINK_ENRICHMENT"": 5}","msg-02875,msg-03449,msg-03452,msg-03542,msg-09824","INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK"
bm25_token_overlap_baseline,lab-cluster-73,Смешанный кластер: социальная ссылка,mixed,4,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.55,SOCIAL_MEDIA_LINK,социальная ссылка,NEEDS_LINK_ENRICHMENT,"{""SOCIAL_MEDIA_LINK"": 4}","{""NEEDS_LINK_ENRICHMENT"": 4}","msg-02783,msg-02827,msg-02838,msg-02869","SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK"
bm25_token_overlap_baseline,lab-cluster-69,Смешанный кластер: социальная ссылка,mixed,3,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.2,SOCIAL_MEDIA_LINK,социальная ссылка,NEEDS_LINK_ENRICHMENT,"{""SOCIAL_MEDIA_LINK"": 3}","{""NEEDS_LINK_ENRICHMENT"": 3}","msg-02677,msg-03802,msg-03804","SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK"
bm25_token_overlap_baseline,lab-cluster-77,Смешанный кластер: тонкая ссылка,mixed,3,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.2,LINK_SHARE,тонкая ссылка,NEEDS_LINK_ENRICHMENT,"{""LINK_SHARE"": 3}","{""NEEDS_LINK_ENRICHMENT"": 3}","msg-03207,msg-04513,msg-18422","LINK_SHARE,LINK_SHARE,LINK_SHARE"
bm25_token_overlap_baseline,lab-cluster-100,"API, инструменты и техническое обсуждение: deepseek",api_tools,1,REVIEW_SINGLE_SIGNAL,одиночный сигнал на проверку,0.9,DIGEST_NEWS,дайджест / новости,REVIEW_SIGNAL_OR_DISCUSSION,"{""DIGEST_NEWS"": 1}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 1}",msg-04463,DIGEST_NEWS
bm25_token_overlap_baseline,lab-cluster-105,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,1,REVIEW_SINGLE_SIGNAL,одиночный сигнал на проверку,0.9,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 1}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 1}",msg-04848,TECH_SIGNAL
bm25_token_overlap_baseline,lab-cluster-123,Смешанный кластер: дайджест / новости,mixed,1,REVIEW_SINGLE_SIGNAL,одиночный сигнал на проверку,0.9,DIGEST_NEWS,дайджест / новости,REVIEW_SIGNAL_OR_DISCUSSION,"{""DIGEST_NEWS"": 1}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 1}",msg-05730,DIGEST_NEWS
bm25_token_overlap_baseline,lab-cluster-127,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,1,REVIEW_SINGLE_SIGNAL,одиночный сигнал на проверку,0.9,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 1}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 1}",msg-05790,TECH_SIGNAL
bm25_token_overlap_baseline,lab-cluster-129,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,1,REVIEW_SINGLE_SIGNAL,одиночный сигнал на проверку,0.9,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 1}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 1}",msg-05903,TECH_SIGNAL
entity_overlap,lab-cluster-187,"API, инструменты и техническое обсуждение: claude",api_tools,21,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,21.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 21}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 21}","msg-09190,msg-09221,msg-09241,msg-11127,msg-11675,msg-14375,msg-14476,msg-15977,msg-15979,msg-16277,msg-16752,msg-16795,msg-16838,msg-16883,msg-18053,msg-18104,msg-18107,msg-18114,msg-18300,msg-19252","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-276,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,6,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,6.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 6}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 6}","msg-16421,msg-16435,msg-16446,msg-17228,msg-17443,msg-17454","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-63,"Сбои, лимиты и ошибки: deepseek",outage_status,6,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,6.15,OUTAGE_STATUS,сбой / статус / ошибка,REVIEW_SIGNAL_OR_DISCUSSION,"{""OUTAGE_STATUS"": 6}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 6}","msg-02517,msg-02528,msg-02529,msg-07844,msg-09045,msg-18791","OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS"
entity_overlap,lab-cluster-181,"Сбои, лимиты и ошибки: openai",outage_status,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,OUTAGE_STATUS,сбой / статус / ошибка,REVIEW_SIGNAL_OR_DISCUSSION,"{""OUTAGE_STATUS"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-08946,msg-09235,msg-15932,msg-16875,msg-19919","OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS,OUTAGE_STATUS"
entity_overlap,lab-cluster-20,"Сбои, лимиты и ошибки: сервисы/API",outage_status,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-00361,msg-00366,msg-02122,msg-04666,msg-09895","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-62,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,5,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,5.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 5}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 5}","msg-02511,msg-02518,msg-02525,msg-09047,msg-09051","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-39,Смешанный кластер: социальная ссылка,mixed,12,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,4.35,SOCIAL_MEDIA_LINK,социальная ссылка,NEEDS_LINK_ENRICHMENT,"{""SOCIAL_MEDIA_LINK"": 12}","{""NEEDS_LINK_ENRICHMENT"": 12}","msg-01032,msg-04846,msg-07645,msg-08771,msg-09133,msg-09411,msg-09470,msg-10221,msg-12753,msg-15919,msg-18728,msg-19701","SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK"
entity_overlap,lab-cluster-107,"Сбои, лимиты и ошибки: claude",outage_status,4,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,4.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 4}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 4}","msg-04872,msg-12551,msg-13006,msg-15972","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-119,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,4,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,4.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 4}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 4}","msg-05590,msg-05611,msg-05642,msg-19387","TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-193,"Сбои, лимиты и ошибки: сервисы/API",outage_status,3,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,3.15,POTENTIAL_DISCUSSION_SIGNAL,потенциальное обсуждение,REVIEW_SIGNAL_OR_DISCUSSION,"{""POTENTIAL_DISCUSSION_SIGNAL"": 3}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 3}","msg-09383,msg-14709,msg-19925","POTENTIAL_DISCUSSION_SIGNAL,POTENTIAL_DISCUSSION_SIGNAL,POTENTIAL_DISCUSSION_SIGNAL"
entity_overlap,lab-cluster-103,"API, инструменты и техническое обсуждение: claude",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,DIGEST_NEWS,дайджест / новости,REVIEW_SIGNAL_OR_DISCUSSION,"{""DIGEST_NEWS"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-04607,msg-09067","DIGEST_NEWS,DIGEST_NEWS"
entity_overlap,lab-cluster-112,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-05157,msg-18656","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-149,"API, инструменты и техническое обсуждение: deepseek",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-07472,msg-07681","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-168,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-08393,msg-11024","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-209,"API, инструменты и техническое обсуждение: deepseek",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-11254,msg-11276","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-21,"API, инструменты и техническое обсуждение: deepseek",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-00369,msg-04400","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-233,"API, инструменты и техническое обсуждение: gpt-5",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-13124,msg-18429","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-30,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-00615,msg-07148","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-323,"Сбои, лимиты и ошибки: сервисы/API",outage_status,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-19255,msg-19258","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-53,"API, инструменты и техническое обсуждение: gpt-4o",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-01967,msg-02356","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-89,"API, инструменты и техническое обсуждение: API и инструменты",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-03833,msg-03847","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-95,"API, инструменты и техническое обсуждение: claude",api_tools,2,REVIEW_CLUSTER_FOR_MATERIAL,кластер на проверку материала,2.15,TECH_SIGNAL,технический сигнал,REVIEW_SIGNAL_OR_DISCUSSION,"{""TECH_SIGNAL"": 2}","{""REVIEW_SIGNAL_OR_DISCUSSION"": 2}","msg-04234,msg-08743","TECH_SIGNAL,TECH_SIGNAL"
entity_overlap,lab-cluster-74,Смешанный кластер: telegram-ссылка,mixed,5,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.9,INTERNAL_TELEGRAM_LINK,telegram-ссылка,NEEDS_LINK_ENRICHMENT,"{""INTERNAL_TELEGRAM_LINK"": 5}","{""NEEDS_LINK_ENRICHMENT"": 5}","msg-02875,msg-03449,msg-03452,msg-03542,msg-09824","INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK,INTERNAL_TELEGRAM_LINK"
entity_overlap,lab-cluster-73,Смешанный кластер: социальная ссылка,mixed,4,LINK_ENRICHMENT_FIRST,сначала обогащение ссылки,1.55,SOCIAL_MEDIA_LINK,социальная ссылка,NEEDS_LINK_ENRICHMENT,"{""SOCIAL_MEDIA_LINK"": 4}","{""NEEDS_LINK_ENRICHMENT"": 4}","msg-02783,msg-02827,msg-02838,msg-02869","SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK,SOCIAL_MEDIA_LINK"
