chunk	dataset_id	http_status	run_id	run_status	provider_calls	cost	materials	error
031	15844	200	15894	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
032	15845	200	15895	COMPLETED	6	0.057135	2	
033	15846	200	15898	COMPLETED	1	0.010315	0	LLM_REJECTED_ALL
034	15847	200	15902	COMPLETED	7	0.08075	1	
035	15848	200	15906	COMPLETED	6	0.05614	2	
036	15849	200	15916	COMPLETED	11	0.115125	3	
037	15850	200	15923	COMPLETED	13	0.14977	4	
038	15851	200	15927	COMPLETED	2	0.01102	0	LLM_REJECTED_ALL
039	15852	200	15929	COMPLETED	3	0.022735	0	LLM_REJECTED_ALL
040	15853	200	15931	COMPLETED	4	0.032375	1	
041	15854	200	15932	COMPLETED	12	0.139755	4	
042	15855	200	15935	COMPLETED	6	0.068305	2	
043	15856	200	15939	COMPLETED	3	0.03116	0	LLM_REJECTED_ALL
044	15857	200	15940	COMPLETED	6	0.077855	2	
045	15858	200	15945	COMPLETED	1	0.01124	0	LLM_REJECTED_ALL
046	15859	200	15946	COMPLETED	10	0.10881	2	
047	15860	200	15956	COMPLETED	5	0.064485	1	
048	15861	200	15959	COMPLETED	8	0.08726	2	
049	15862	200	15963	COMPLETED	5	0.05796	1	
050	15863	200	15966	COMPLETED	9	0.089935	3	
051	15864	200	15971	COMPLETED	3	0.034715	1	
052	15865	200	15973	COMPLETED	8	0.10421	3	
053	15866	200	15977	COMPLETED	2	0.00865	0	LLM_REJECTED_ALL
054	15867	200	15978	COMPLETED	1	0.01206	0	LLM_REJECTED_ALL
055	15868	200	15979	COMPLETED	1	0.0	0	LLM_REJECTED_ALL
056	15869	200	15980	COMPLETED	4	0.05176	1	
057	15870	200	15981	COMPLETED	6	0.075385	2	
058	15871	200	15985	COMPLETED	3	0.019655	0	LLM_REJECTED_ALL
059	15872	200	15986	COMPLETED	8	0.104005	3	
060	15873	200	15996	COMPLETED	7	0.077745	2	
061	15874	200	16000	COMPLETED	2	0.012825	0	LLM_REJECTED_ALL
062	15875	200	16001	COMPLETED	5	0.07341	2	
063	15876	200	16002	COMPLETED	3	0.018655	1	
064	15877	200	16003	COMPLETED	1	0.0	0	LLM_REJECTED_ALL
065	15878	200	16005	COMPLETED	4	0.05787	2	
066	15879	200	16006	COMPLETED	8	0.079085	2	
067	15880	200	16007	COMPLETED	3	0.027585	1	
068	15881	200	16008	COMPLETED	14	0.17298	4	
069	15882	200	16011	COMPLETED	1	0.00934	0	LLM_REJECTED_ALL
070	15883	200	16021	COMPLETED	3	0.03506	1	
071	15884	200	16022	COMPLETED	11	0.15637	4	
072	15885	200	16028	COMPLETED	0	0.0	0	NO_MATERIAL_CANDIDATES
073	15886	200	16029	COMPLETED	3	0.02946	1	
074	15887	200	16031	COMPLETED	0	0.0	0	LLM_REJECTED_ALL
075	15888	200	16032	COMPLETED	2	0.02148	0	LLM_REJECTED_ALL
076	15889	200	16033	COMPLETED	4	0.062275	2	
077	15890	200	16038	COMPLETED	6	0.05677	1	
078	15891	200	16042	COMPLETED	9	0.10455	2	
079	15892	200	16049	COMPLETED	6	0.064445	2	
080	15893	200	16053	COMPLETED	7	0.079275	2	
081	15894	200	16057	COMPLETED	9	0.114125	3	
082	15895	200	16060	COMPLETED	6	0.07922	2	
083	15896	200	16062	COMPLETED	5	0.046845	1	
084	15897	200	16064	COMPLETED	2	0.03082	1	
085	15898	200	16065	COMPLETED	1	0.008905	0	LLM_REJECTED_ALL
086	15899	200	16067	COMPLETED	4	0.03139	1	
087	15900	200	16068	COMPLETED	7	0.04722	1	
088	15901	200	16069	COMPLETED	7	0.094475	2	
089	15902	200	16071	COMPLETED	6	0.071335	2	
090	15903	200	16072	COMPLETED	8	0.095775	1	
091	15904	200	16073	COMPLETED	11	0.12251	2	
092	15905	200	16074	COMPLETED	12	0.135695	1	
093	15906	200	16075	COMPLETED	6	0.05425	2	
094	15907	200	16077	COMPLETED	4	0.032585	0	LLM_REJECTED_ALL
095	15908	200	16078	COMPLETED	2	0.02489	0	LLM_REJECTED_ALL
096	15909	200	16079	COMPLETED	2	0.02557	1	
097	15910	200	16080	COMPLETED	4	0.042835	1	
098	15911	200	16081	COMPLETED	9	0.109115	3	
099	15912	200	16082	COMPLETED	6	0.03362	0	LLM_REJECTED_ALL
100	15913	200	16083	COMPLETED	3	0.02456	0	LLM_REJECTED_ALL
